,Kod,Name
10533,10.86.10.212,"Консервы на овощной, овоще-фруктовой основах протертые для детского питания"
10534,11.02.1,Вина виноградные из свежего винограда; сусло виноградное
10535,22.11.11,Шины и покрышки пневматические для легковых автомобилей новые
10536,22.11.16,Заготовки протекторные для восстановления резиновых шин и покрышек
10537,22.21.21.129,Трубы полимерные жесткие прочие
10538,22.21.42.149,Покрытия полимерные защитные для улучшения радиационной обстановки прочие
10539,10.51.40.152,Сыры сухие с вкусовыми компонентами
10540,15.20.29.190,"Обувь спортивная прочая, кроме лыжных ботинок и ботинок с коньками, не включенная в другие группировки"
10541,26.11.22.224,Светодиодные модули красного диапазона
10542,26.11.22.300,Приборы пьезоэлектрические и их части
10543,95.25.11.117,"Услуги по ремонту настольных электронных часов с цифровой индикацией, работающих от сети"
10544,25.30.99.120,"Услуги по производству систем ядерных реакторов отдельные, выполняемые субподрядчиком"
10545,95.25.11.129,"Услуги по ремонту прочих часов, не включенные в другие группировки"
10546,25.30.99.140,"Услуги по производству оборудования эксплуатационного для ядерных реакторов и атомных электростанций отдельные, выполняемые субподрядчиком"
10547,95.25.11.119,Услуги по ремонту секундомеров
10548,95.22.10.200,Услуги по ремонту бытовых приборов
10549,96.01.12.213,Услуги по водоотталкивающей пропитке спецодежды и других изделий из брезента
10550,96.01.12.236,Услуги по обновлению изделий из натуральной кожи покрывного крашения
10551,95,"Услуги по ремонту компьютеров, предметов личного потребления и бытовых товаров"
10552,46.71.13.141,Услуги по оптовой торговле сжиженными углеводородными газами по регулируемым государством ценам (тарифам)
10553,45.11.24,"Услуги по розничной торговле бывшими в употреблении специализированными пассажирскими автотранспортными средствами, такими как автомобили скорой помощи и микроавтобусы и т. д., и автотранспортными средствами повышенной проходимости (вес которых не превышает 3,5 т) в специализированных магазинах"
10554,47.52.60,Услуги по розничной торговле садово-огородной техникой и инвентарем в специализированных магазинах
10555,55.20.12,"Услуги по предоставлению временного жилья для посетителей в помещениях, находящихся в собственности на фиксированное время года"
10556,49.20.13,Услуги железнодорожного транспорта по перевозке жидких и газообразных грузов в массе (наливом) в вагонах-цистернах
10557,52.23.1,"Услуги аэропортов (кроме обработки грузов), услуги по управлению воздушным движением и прочие услуги, связанные с воздушным транспортом"
10558,80.30,Услуги по проведению расследований
10559,43.99.30,Работы свайные; работы по строительству фундаментов
10560,65.12.61.000,Услуги по страхованию кредитов
10561,27.11.23.000,Электродвигатели переменного тока многофазные мощностью не более 750 Вт
10562,01.11.31.111,Зерно ячменя озимого пивоваренного
10563,01.11.81,Бобы соевые
10564,13.92.12.169,Белье постельное прочее из нетканых материалов
10565,01.28.30,"Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей"
10566,01.30.10.151,Мицелий тепличных шампиньонов
10567,13.99.13,Фетр и войлок
10568,13.20.32.122,Ткани готовые с массовой долей полиакрилонитрильных и модифицированных полиакрилонитрильных волокон не менее 85 %
10569,24.34.1,Проволока холоднотянутая
10570,23.63.10,"Бетон, готовый для заливки (товарный бетон)"
10571,27.40.21.120,"Фонари электрические переносные, работающие от батарей сухих элементов, аккумуляторов, магнето"
10572,28.30.59.143,Машины для уборки и первичной обработки льна
10573,14.31.10.167,Гольфы детские из смешанной (полушерстяной) пряжи
10574,16.10.21.121,Пиломатериалы профилированные из дуба
10575,25.30.21.130,Критические и подкритические ядерные стенды
10576,16.10.23.113,Щепа кровельная
10577,03.22.10.140,"Бестер живой, являющийся продукцией рыбоводства"
10578,26.40.32.110,Магнитофоны
10579,30.11.24.112,Суда контейнерные морские
10580,30.20.33.140,Вагоны трамвайные грузовые
10581,29.10.59.110,Средства автотранспортные для транспортирования строительных материалов
10582,28.99.32.130,Тиры
10583,10.11.20.140,"Субпродукты пищевые козьи парные, остывшие или охлажденные"
10584,10.20.23,"Рыба вяленая, соленая и несоленая или в рассоле"
10585,20.13.23.125,Гольмий
10586,31.09.12.134,Гарнитуры и наборы комплектной мебели деревянные для столовой и гостиной
10587,20.14.32.131,"Кислоты моно-, ди- или трихлоруксусные"
10588,20.14.22.129,Спирты одноатомные насыщенные прочие
10589,32.40.39.153,"Игрушки металлические транспортные, технические (в том числе игрушечные сооружения) механические (заводные, инерционные, пружинные, рычажные), не включенные в другие группировки"
10590,20.15.59.000,Удобрения калийные прочие
10591,13.92.22.150,Палатки
10592,20.59.52.190,"Реагенты сложные диагностические или лабораторные, не включенные в другие группировки"
10593,01.28.12.000,"Перец красный и стручковый, сухой, необработанный"
10594,41,Здания и работы по возведению зданий
10595,27.40.24.122,"Световые табло и аналогичные устройства, предназначенные для использования с люминесцентными газоразрядными лампами"
10596,33.12.28.000,Услуги по ремонту и техническому обслуживанию оборудования для пластмасс и резины
10597,10.13.14.731,Полуфабрикаты натуральные из мяса и субпродуктов птицы охлажденные
10598,71.12.12.110,Услуги по проектированию (включая изыскания) объектов использования атомной энергии
10599,10.13.14.726,Полуфабрикаты мясосодержащие мелкокусковые и порционные замороженные
10600,95.22.10.150,"Услуги по ремонту швейных, вязальных машин (ручных)"
10601,96.01.12.235,Услуги по отбеливанию пряжи и гардинно-тюлевых изделий
10602,10.84.23.164,Лист лавровый обработанный
10603,20.13.11.122,"Дисперсии, содержащие плутоний и его соединения"
10604,43.33.1,Работы по облицовке полов и стен плитками
10605,49,Услуги сухопутного и трубопроводного транспорта
10606,95.29,Услуги ремонту прочих предметов личного потребления и бытовых товаров
10607,49.41.15.000,Услуги по перевозке автомобильным транспортом сухих сыпучих грузов
10608,84.25,Услуги по обеспечению безопасности в чрезвычайных ситуациях; услуги по обеспечению безопасности в области использования атомной энергии
10609,01.25.13,Земляника (клубника)
10610,23.61.12.119,"Конструкции фундаментов сборные железобетонные прочие, не включенные в другие группировки"
10611,42.91.10.150,Плотины и аналогичные водоудерживающие сооружения и насыпи для береговых и прочих прибрежных участков
10612,01.24.23.000,Абрикосы
10613,13.92.21.190,Изделия упаковочные прочие из текстильных материалов
10614,23.32,"Кирпичи, черепица и изделия строительные из обожженной глины"
10615,24.10.21,Сталь нелегированная в слитках или в прочих первичных формах и полуфабрикаты из нелегированной стали
10616,23.49.11.120,"Изделия керамические, используемые для транспортирования или упаковывания товаров"
10617,24.41.1,"Серебро необработанное или полуобработанное, или в виде порошка"
10618,28.92.26.120,"Погрузчики полноповоротные ковшовые, кроме фронтальных одноковшовых погрузчиков"
10619,13.96.14.196,"Ткани, покрытые смолой или другими материалами, используемые для производства брезента и упаковочных материалов"
10620,26.12.1,Платы печатные смонтированные
10621,24.41.30.124,Сплавы палладия
10622,01.41.20.130,Молоко сырое ячих
10623,24.43.23.110,Прутки цинковые
10624,15.20.32.132,Тапочки детские шубные
10625,14.31.10.198,Носки детские из синтетических нитей в смеси с другими нитями
10626,28.29.50,Машины посудомоечные промышленного типа
10627,25.73.40.154,Развертки для станков с ЧПУ и для автоматических линий
10628,15.11.1,Шкурки меховые дубленые или выделанные
10629,28.41.24.130,Станки отрезные металлообрабатывающие
10630,16.2,"Изделия из дерева, пробки, соломки и материалов для плетения"
10631,29.10.30.112,Автобусы дальнего следования
10632,06.20.10,Газ природный в газообразном или сжиженном состоянии
10633,07.29.15.120,Концентраты свинцовые
10634,17.23.11.140,Трафареты для копировальных аппаратов и формы офсетные (пластины) из бумаги
10635,08.11.20.114,Известняк мергелистый
10636,20.14.33.314,Соли бензойной кислоты прочие
10637,32.20.13.132,Баяны
10638,08.92.10.111,Торф топливный фрезерный
10639,20.14.22.116,Бутанолы прочие
10640,10.32.19.111,Соки из фруктов прямого отжима прочие
10641,30.20.3,Состав подвижной прочий
10642,10.11.33.120,Мясо ягнят замороженное
10643,32.40.39.192,Предметы игрового обихода пластмассовые без механизмов
10644,32.40.39.142,"Предметы игрового обихода пластмассовые гидравлические, пневматические, аэродинамические, действующие от магнитов"
10645,10.41.29.138,Масло пальмоядровое и его фракции нерафинированные
10646,08.12.22.130,Кианит
10647,10.51.30.310,Масло топленое
10648,20.14.80.000,"Щелоки, остающиеся при производстве целлюлозы, кроме таллового масла"
10649,32.99.11.150,Пояса предохранительные
10650,20.30.12.150,Растворы синтетических или химически модифицированных природных полимеров в летучих органических растворителях
10651,32.99.11.112,Противогазы изолирующие
10652,10.81.14.120,Меласса из тростникового сахара-сырца
10653,37,Услуги по водоотведению; шлам сточных вод
10654,10.89.19.110,Каши сухие
10655,10.84.12.190,Соусы и кремы на растительных маслах прочие
10656,21.20.10.146,Бета-адреноблокаторы
10657,10.11.60.144,"Порошок и отходы слоновой кости, панцирей черепах, китового уса и аналогичные отходы"
10658,10.32.17.140,Смеси фруктовых и (или) овощных соков концентрированные
10659,41.20.40.100,Работы по возведению объектов использования атомной энергии
10660,12.00.19.310,Махорка курительная
10661,45.20.11.515,"Топливозаправочные работы (бензин, дизельное топливо, газ)"
10662,96.01.19.114,Услуги по срочной стирке белья
10663,95.23.10.126,Услуги по постановке супинаторов
10664,93.11.1,Услуги спортивных объектов
10665,92.1,Услуги по организации и проведению азартных игр и заключению пари
10666,95.24,Услуги по ремонту мебели и предметов домашнего обихода
10667,46.41.13.000,"Услуги по оптовой торговле столовым и постельным бельем, портьерами и разнообразными бытовыми изделиями из текстильных материалов"
10668,47.75.10.000,"Услуги по розничной торговле косметическими и парфюмерными товарами, кроме мыла, в специализированных магазинах"
10669,46.17.12.110,Услуги по оптовой торговле безалкогольными напитками за вознаграждение или на договорной основе
10670,55.9,Услуги по предоставлению временного жилья прочие
10671,61.10.30.190,Услуги по передаче данных по проводным телекоммуникационным сетям прочие
10672,22.29.26.110,"Фурнитура для мебели, транспортных средств и аналогичные изделия пластмассовые"
10673,86.90.16,"Услуги банков крови, банков спермы и банков органов для трансплантации"
10674,66.1,"Услуги вспомогательные, связанные с услугами финансового посредничества, кроме страхования и пенсионного обеспечения"
10675,71.12.13,Услуги по инженерно-техническому проектированию систем энергоснабжения
10676,86.90.17.000,Услуги по диагностической визуализации без расшифровки
10677,13.30,Услуги по отделке пряжи и тканей
10678,13.10.84.111,"Пряжа однониточная с массовой долей вискозных или высокомодульных вискозных волокон не менее 85 %, не расфасованная для розничной продажи"
10679,27.90.11,Машины электрические и аппаратура специализированные
10680,14.13.13.110,"Пальто, полупальто женские или для девочек трикотажные или вязаные"
10681,01.45.11.410,Овцы для убоя
10682,01.47.14.100,Утки живые
10683,28.15.21.120,Цепи тяговые
10684,27.33.11.190,"Устройства коммутационные на напряжение не более 1 кВ прочие, не включенные в другие группировки"
10685,01.49.19.260,Бобры клеточного разведения
10686,28.29.31.119,Весы прочие
10687,14.19.42.120,Уборы головные прочие из фетра
10688,02.20.12.119,Бревна прочих лиственных пород для распиловки и строгания
10689,25.40.13.190,Патроны и боеприпасы прочие и их детали
10690,15.11.10.710,"Головы, хвосты, лапы и прочие части или обрезки, несобранные"
10691,16.10.10.115,Пиломатериалы из пихты
10692,14.19.21.160,Одежда для детей младшего возраста и аксессуары одежды из искусственных нитей (тканей)
10693,03.22.10.170,"Осетр русский живой, являющийся продукцией рыбоводства"
10694,16.24.13.130,Клинья
10695,16.23.20.140,Здания и помещения деревянные сборно-разборные
10696,29.10.59.144,Автолестницы и автоподъемники пожарные
10697,18.11,Услуги по печатанию газет
10698,18.12.14.000,"Услуги по печатанию книг, географических карт, гидрографических или аналогичных карт всех видов, репродукций, чертежей и фотографий, открыток"
10699,29.32.91.000,"Услуги по сборке полных комплектов для автотранспортных средств, предоставляемые субподрядчиком"
10700,26.51.70.110,Термостаты
10701,10.11.31.110,Говядина замороженная
10702,32.99.54.000,"Свечи, вощеные фитили и аналогичные изделия"
10703,32.30.11.114,Лыжи промысловые
10704,10.20.24.112,Сельдь и филе сельди холодного копчения
10705,10.39.24.000,"Фрукты и орехи, консервированные для недлительного хранения, но не готовые для непосредственного употребления в пищу"
10706,10.51.55.120,Продукты из сыворотки
10707,20.30.24.119,Краски полиграфические специального назначения прочие
10708,10.51.56.332,Консервы сухие молокосодержащие
10709,35.2,Газы горючие искусственные; услуги по распределению газообразного топлива по трубопроводам
10710,38.32.22.130,"Лом и отходы загрязненные, смешанные (вне класса)"
10711,10.72.12.110,Печенье и пряники имбирные и аналогичные изделия
10712,10.81.13.120,Сахар белый тростниковый в твердом состоянии со вкусоароматическими добавками
10713,10.11.45,Шкуры и кожи коз и козлят сырые
10714,95.24.10.118,Услуги по обновлению и переделке старых конструкций мебели на современные
10715,10.13.14.410,Изделия колбасные копченые мясные
10716,95.29.11.192,Услуги по вставке застежки-молнии
10717,13.92.12.193,Наволочки из прочих тканей
10718,47.78.20.200,Услуги по сборке и ремонту очков в специализированных магазинах
10719,95.25.11.122,"Услуги по ремонту антикварных и старинных часов, изготовление узлов и деталей к ним"
10720,26.30.60.190,"Части устройств охранной или пожарной сигнализации и аналогичной аппаратуры прочие, не включенные в другие группировки"
10721,46.31.12.000,"Услуги по оптовой торговле переработанными овощами, фруктами и орехами"
10722,95.29.12.000,Услуги по ремонту велосипедов
10723,96.09.12,Услуги сопровождающих лиц
10724,46.36.12,Услуги по оптовой торговле хлебобулочными изделиями
10725,46.17.12.120,"Услуги по оптовой торговле алкогольными напитками, кроме пива, за вознаграждение или на договорной основе"
10726,49.20.12,Услуги железнодорожного транспорта по перевозке нефтепродуктов в вагонах-цистернах
10727,69.20,Услуги в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию
10728,64.1,Услуги по посредничеству в денежно-кредитной сфере
10729,46.47.13.000,Услуги по оптовой торговле коврами и ковриками
10730,80.2,Услуги систем обеспечения безопасности
10731,42.11.2,"Работы строительные по строительству автомагистралей, автомобильных дорог, в том числе проходящих по улицам населенных пунктов, и прочих автомобильных или пешеходных дорог, и взлетно-посадочных полос аэродромов"
10732,42.99.2,Работы строительные по строительству прочих гражданских сооружений
10733,43.22.20.000,Работы по монтажу газовых систем
10734,23.14.9,"Услуги по производству стекловолокна отдельные, выполняемые субподрядчиком"
10735,28.12.11.112,Гидроцилиндры поршневые двухстороннего действия с двухсторонним штоком
10736,27.33.13.169,"Аппараты электрические для управления электротехническими установками прочие, не включенные в другие группировки"
10737,13.96.17.117,Ткани узкие из металлических нитей
10738,01.41.10.122,Быки-производители молочного стада племенные
10739,28.29.31.120,Весы непрерывного взвешивания изделий на конвейерах
10740,24.20.33,"Трубы круглого сечения сварные прочие, наружным диаметром не более 406,4 мм, стальные"
10741,24.31.30,Прутки холоднотянутые и профили со сплошным сечением из нержавеющих сталей
10742,28.30.32.110,Бороны
10743,25.71.14,"Ложки, вилки, половники, шумовки, лопаточки для тортов, ножи для рыбы, ножи для масла, щипцы для сахара и аналогичные кухонные и столовые приборы"
10744,28.15.2,"Подшипники прочие, зубчатые колеса, зубчатые передачи и элементы приводов"
10745,28.30.4,"Косилки для газонов, парков или спортивных площадок"
10746,15.20.14,"Обувь с верхом из текстильных материалов, кроме спортивной обуви"
10747,03.12.20.140,Рыба осетровая свежая или охлажденная
10748,07.29.11,Руды и концентраты медные
10749,17.22.13,"Подносы, блюда, тарелки, чашки и аналогичные изделия из бумаги или картона"
10750,30.11.33.110,Земснаряды
10751,19.20.32.112,Пропилен
10752,03.22.10.370,"Щука живая, являющаяся продукцией рыбоводства"
10753,06.10.10.151,Нефть сырая высокосернистая особо легкая материковых месторождений
10754,18.14.1,Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий
10755,08.12.11.190,"Пески природные, не включенные в другие группировки"
10756,30.20.33.113,Вагоны-цистерны
10757,08.92.10.110,Торф неагломерированный
10758,10.13.16.110,"Мука тонкого и грубого помола и гранулы из мяса или мясных субпродуктов, не пригодные для употребления в пищу"
10759,20.13.65.212,Оксид гадолиния
10760,10.20.24.122,Сельдь и филе сельди горячего копчения
10761,20.14.32.172,Соли пальмитиновой кислоты
10762,20.14.33.112,Метилакрилат
10763,10.82.12,Какао-масло и его фракции
10764,10.83.99.000,"Услуги по производству кофе и чая отдельные, выполняемые субподрядчиком"
10765,10.41.59.141,Масло персиковое и его фракции рафинированные
10766,35.21,Газы горючие искусственные
10767,20.59.53,"Элементы химические легированные в форме дисков и соединения химические легированные, используемые в электронике"
10768,26.30.50.130,"Комплексы и системы технических средств физической защиты, применяемые в области использования атомной энергии"
10769,27.90.11.123,Ускорители-генераторы заряженных частиц нейтронные
10770,22.21.21.125,"Трубы стеклопластиковые, в т.ч. для уранодобывающего производства"
10771,41.20.40.130,Работы строительные при закрытии пунктов захоронения удаляемых радиоактивных отходов
10772,45.20.11.517,"Услуги по установке, тонированию и бронированию стекол автомобилей"
10773,95.23.10.194,Услуги по растяжке обуви
10774,95.22.10.224,"Услуги по ремонту кинопроекторов, диапроекторов и другой проекционной аппаратуры"
10775,95.23.10.114,Услуги по обновлению обуви с полной заменой верха с использованием ношеных формованных подошв
10776,96.03.12.123,"Услуги по изготовлению траурных венков, искусственных цветов, гирлянд"
10777,47.91.10.000,Услуги по розничной почтовой (посылочной) торговле
10778,91.01.11,Услуги библиотек
10779,26.70.12.110,Фотокамеры для подготовки печатных пластин или цилиндров
10780,42.21.22.130,Работы строительные по прокладке местных трубопроводов газа и пара
10781,43.29.19.140,Работы по монтажу знаков (светящихся или нет)
10782,73.11.13.000,Услуги по разработке рекламного дизайна и концепции
10783,82.91,Услуги агентств по сбору платежей и бюро кредитной информации
10784,70.21.10,Услуги по связи с общественностью и информации
10785,01.13.31.000,"Перец стручковый и горошковый черный, не сушеный"
10786,61.10.11.110,"Услуги по предоставлению внутризоновых, междугородных и международных телефонных соединений"
10787,27.90.40,"Оборудование электрическое прочее, не включенное в другие группировки (включая магниты электрические; муфты и тормоза электромагнитные; захваты подъемные электромагнитные; ускорители частиц электрические; генераторы сигналов электрические)"
10788,86.10,Услуги больничных организаций
10789,27.51.24.120,Электрокофеварки
10790,24.20.13.120,Трубы стальные бесшовные высокого давления
10791,28.13.3,Части насосов и компрессоров
10792,28.15.10.124,Подшипники качения роликовые с длинными цилиндрическими роликами радиальные
10793,28.15.24.133,Трансформаторы гидродинамические
10794,24.51.2,Трубы и профили пустотелые из чугуна
10795,15.11.10.230,"Шкурки диких животных семейства кошачьих меховые выделанные целые, с головой, хвостом или лапами или без них, несобранные"
10796,28.22.18.263,Перегрузчики для обслуживания стеллажных напольных комплектовочных кранов-штабелеров
10797,24.53.10,Услуги по литью легких металлов
10798,14.31.10.131,Колготы детские из хлопчатобумажной пряжи
10799,25.61,Услуги по обработке металлов и нанесению покрытий на них
10800,25.93.12,"Проволока колючая из черных металлов; проволока скрученная, канаты, ленты плетеные и аналогичные изделия из меди или алюминия без электрической изоляции"
10801,05.10,Уголь
10802,25.93.17,Цепи (кроме шарнирных цепей) и их детали
10803,16.29.25,"Изделия из соломки, эспарто (альфы) и прочих материалов для плетения; изделия корзиночные и плетеные"
10804,07.21.10.120,Руды и концентраты ториевые
10805,17.22.11.130,"Салфетки и полотенца гигиенические или косметические из бумажной массы, бумаги, целлюлозной ваты и полотна из целлюлозных волокон"
10806,18.13.30,"Услуги дополнительные, связанные с печатанием"
10807,08.11.12.119,Породы горные вулканические прочие
10808,08.11.30.120,Доломит некальцинированный
10809,20.13.25.110,"Оксиды, гидроксиды и пероксиды"
10810,10.11.33.110,Баранина замороженная
10811,20.13.23.117,Барий
10812,26.51.41.162,Детекторы ионизирующих излучений радиолюминесцентные
10813,20.14.11.129,Изобутилен-ректификат
10814,20.14.34.283,Эфиры 4-гидроксибензойной кислоты сложные
10815,10.41.56,"Масло рапсовое, сурепное, горчичное и их фракции рафинированные, но не подвергнутые химической модификации"
10816,32.30.14.121,Тренажеры силовые
10817,20.14.32.160,"Кислоты валериановые, их соли и сложные эфиры"
10818,32.50.13,"Шприцы, иглы, катетеры, канюли и аналогичные инструменты; офтальмологические и прочие приборы, устройства и инструменты, не включенные в другие группировки"
10819,10.51.54.120,Сиропы на основе молочного сахара
10820,20.41.32.114,Средства моющие для туалетов и ванных комнат
10821,10.51.9,"Услуги по производству молочной продукции, выполняемые субподрядчиком"
10822,20.42.15.145,Лосьоны для ухода за кожей тела
10823,38.32.25.110,Лом и кусковые отходы алюминия и алюминиевых сплавов
10824,35.21.10.140,Газ горючий искусственный коксовый
10825,22.19.60.112,Перчатки резиновые технические
10826,22.19.30.120,"Шланги из вулканизированной резины, кроме твердой резины (эбонита)"
10827,13.99.99.210,Услуги по изготовлению изделий текстильной галантереи по индивидуальному заказу населения
10828,96.01.19.121,"Услуги по стирке изделий из искусственных, синтетических и смешанных тканей"
10829,46.49.36.000,Услуги по оптовой торговле сувенирами и предметами искусства
10830,71.12.39.117,"Услуги, связанные с активными воздействиями на метеорологические и геофизические процессы и явления"
10831,11.03.10.111,Сидр
10832,01.23,Плоды цитрусовых культур
10833,13.92.11.120,Пледы дорожные
10834,24.42,Алюминий
10835,24.43.23.160,Фольга цинковая
10836,24.45.30.121,"Молибден необработанный, включая прутки, изготовленные простым спеканием"
10837,01.49.19.282,Молодняк хорей клеточного разведения
10838,28.23.13.190,"Машины, содержащие счетные устройства, прочие, не включенные в другие группировки"
10839,25.61.12.190,Услуги по нанесению на металлы прочих покрытий
10840,25.73.1,"Инструмент ручной, используемый в сельском хозяйстве, садоводстве или лесном хозяйстве"
10841,03.11.63,"Водоросли морские и прочие, не являющиеся продукцией рыбоводства"
10842,15.20.11.119,"Обувь резиновая прочая, не включенная в другие группировки"
10843,15.11.32.000,Кожа из нецелых шкур крупного рогатого скота без волосяного покрова
10844,28.99.11.130,Оборудование для обработки книжных блоков (блокообрабатывающие машины)
10845,03.12.20.132,Сазан свежий или охлажденный
10846,03.12.20.141,Осетр свежий или охлажденный
10847,03.12.20.153,Сиг свежий или охлажденный
10848,26.11.11.110,Трубки электронно-лучевые приемные телевизионные (кинескопы)
10849,06.10.10.212,"Нефть обезвоженная, обессоленная и стабилизированная малосернистая легкая"
10850,05.10.10.134,Уголь марки КСН - коксовый слабоспекающийся низкометаморфизованный
10851,17.22.11.110,"Бумага туалетная из бумажной массы, бумаги, целлюлозной ваты и целлюлозных волокон и полотна из целлюлозных волокон"
10852,26.51.31.000,"Весы чувствительностью 0,05 г или выше"
10853,30.20.31.112,Машины для очистки и дозировки балласта
10854,20.13.21.232,Сера коллоидная
10855,26.51.45.115,"Частотомеры, фазометры и синхроноскопы самопишущие"
10856,32.20.13.167,Валторны
10857,20.13.51.121,Серебро в коллоидном состоянии
10858,32.20.13.160,Инструменты музыкальные духовые
10859,32.20.14.120,Инструменты электромузыкальные адаптиризованные струнные щипковые
10860,20.14.23.110,Диолы
10861,32.30.12,Обувь лыжная
10862,47.59.7,"Услуги по розничной торговле электрическими системами охранной сигнализации, такими как запорные устройства, сейфы и хранилища"
10863,94.99.12,"Услуги, предоставляемые группами в защиту окружающей среды"
10864,43.99.50.130,Работы по монтажу навесных стеновых панелей
10865,20.14.31.120,Кислота олеиновая промышленная
10866,20.14.34.221,Кислота винная
10867,59.20.11.000,Услуги звукозаписи
10868,72.11.11,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области биотехнологии в области здоровья"
10869,20.14.32.173,Эфиры пальмитиновой кислоты сложные
10870,11.07.9,"Услуги по производству минеральных вод и безалкогольных напитков отдельные, выполняемые субподрядчиком"
10871,77.12.11.000,Услуги по аренде и лизингу грузовых транспортных средств без водителя
10872,77.34.10.000,Услуги по аренде и лизингу водных транспортных средств
10873,43.22.12,"Работы по монтажу систем отопления, вентиляции и кондиционирования воздуха"
10874,26.70.14.190,Фотокамеры прочие
10875,20.14.34.263,Эфиры яблочной кислоты сложные
10876,20.14.34.270,"Кислота холевая, кислота дезоксихолевая, их соли и эфиры сложные"
10877,10.52.10.164,Мороженое мягкое с заменителем молочного жира
10878,32.40.20.121,Наборы пластмассовые
10879,01.11.12,"Пшеница, кроме твердой пшеницы"
10880,22.23.20.000,Здания быстровозводимые из пластмасс
10881,35.11,Электроэнергия
10882,10.41.23.000,Масло оливковое и его фракции нерафинированные
10883,38.11.58,Отходы металлов неопасные
10884,20.16.3,Полимеры винилхлорида или прочих галогенированных олефинов в первичных формах
10885,20.14.75,Спирт этиловый и прочие денатурированные спирты любой концентрации (крепости)
10886,10.51.40.179,Сыры плавленые прочие
10887,26.30.50.142,Средства обнаружения активные
10888,26.51.53.170,Приборы и установки радиационные диагностические
10889,10.13.14.413,Колбасы (колбаски) сырокопченые мясные
10890,10.86.10.642,Полуфабрикаты мясосодержащие для детского питания
10891,49.20.19.119,"Услуги железнодорожного транспорта по перевозке опасных грузов прочие, не включенные в другие группировки"
10892,43.32.10.110,"Работы по установке дверных и оконных блоков и коробок, навеске дверных полотен (кроме дверей автоматического действия и вращающихся дверей), окон, оконных створок, планчатых створок, дверей гаражного типа и т. п. из любых материалов"
10893,47.11.3,Услуги по розничной торговле большим товарным ассортиментом с преобладанием продовольственных товаров в неспециализированных магазинах
10894,47.78.6,"Услуги по розничной торговле бытовым жидким котельным топливом, газом в баллонах, углем, древесным топливом, топливным торфом в специализированных магазинах"
